haiku: 535 units to judge (0 cached)
  20/535 judged, 19 stored
  40/535 judged, 36 stored
  60/535 judged, 53 stored
  80/535 judged, 73 stored
  100/535 judged, 87 stored
  120/535 judged, 102 stored
  140/535 judged, 120 stored
  160/535 judged, 140 stored
  180/535 judged, 158 stored
  200/535 judged, 177 stored
  220/535 judged, 197 stored
  240/535 judged, 217 stored
  260/535 judged, 236 stored
  280/535 judged, 254 stored
  300/535 judged, 272 stored
  320/535 judged, 292 stored
  340/535 judged, 312 stored
  360/535 judged, 331 stored
  380/535 judged, 349 stored
  400/535 judged, 368 stored
  420/535 judged, 387 stored
  440/535 judged, 404 stored
  460/535 judged, 417 stored
  480/535 judged, 423 stored
  500/535 judged, 424 stored
  520/535 judged, 425 stored
  535/535 judged, 425 stored
done: 425 units stored, 110 failed (re-run to retry)
  60/110 judged, 467 stored
  80/110 judged, 487 stored
  100/110 judged, 505 stored
  110/110 judged, 514 stored
done: 514 units stored, 21 failed (re-run to retry)
